,Larea,Rarea
100206,105767.984,107731.266
100307,81786.58,81107.79
100408,93083.74,95050.67
100610,96215.016,96839.78
101006,75084.125,74787.04
101107,80900.53,82460.68
101309,91709.44,93690.52
101915,84833.31,85289.31
102008,94850.84,95448.75
102109,105051.19,106294.805
102311,88379.6,89296.69
102513,103395.03,103763.39
102614,95929.086,96191.305
102715,104626.86,105475.31
102816,81881.11,82245.84
103010,94041.02,94704.33
103111,98288.97,99027.1
103212,99455.695,101135.92
103414,81012.29,80542.664
103515,83233.09,85269.016
103818,77259.7,78059.23
104012,85288.73,87409.7
104416,88126.89,88523.73
104820,75099.86,74899.75
105014,88873.8,88668.19
105115,87776.13,89072.18
105216,107928.45,107573.5
105620,90733.73,92459.56
105923,94057.8,94067.25
106016,87523.195,87768.54
106319,90407.91,89211.34
106521,97723.81,100636.97
106824,101686.734,101710.85
107018,82108.52,81419.516
107321,84907.2,85989.945
107422,94781.91,95206.15
107725,82793.11,84152.61
108020,98530.31,99520.04
108121,69164.26,70305.2
108222,97619.59,99448.875
108323,83949.06,85385.52
108525,81793.34,81430.17
108828,92983.266,93387.98
109123,93559.7,95011.234
109325,94373.58,94578.95
109830,73654.66,74361.34
110007,76131.41,77331.21
110411,87530.17,89088.555
110613,98838.836,99862.84
111009,96141.63,96664.5
111211,86522.34,86368.92
111312,79290.086,78572.6
111413,86673.586,87803.62
111514,95108.414,93639.72
111716,85345.914,85527.41
112112,93104.25,93701.64
112314,92696.04,92878.2
112516,79751.83,78717.44
112920,106254.125,106989.234
113215,97665.03,99305.58
113316,98629.9,98855.0
113619,90494.72,91883.69
113922,100803.74,101226.64
114217,81066.44,80754.72
114318,84137.58,83940.96
114419,99489.62,100076.164
114621,85515.734,85491.84
114823,92145.445,92393.06
114924,91648.44,93139.45
115017,87350.695,87240.33
115219,96409.11,97228.19
115320,74673.7,74940.07
115825,88231.59,88407.836
116524,86442.4,85949.78
116726,91909.3,91320.15
117021,88465.25,88246.266
117122,82427.664,83262.47
117324,84152.19,85129.28
117930,82141.93,82963.39
118023,82769.6,81954.94
118124,68237.32,68767.94
118225,99406.23,101633.47
118528,83105.43,83296.68
118730,99748.35,102455.69
118831,87371.5,87780.62
118932,96185.5,95336.555
119025,96327.86,96874.39
119126,81991.04,83674.875
119732,85012.12,85978.82
119833,91924.69,92282.53
120111,92212.055,93982.47
120212,79766.37,78532.69
120414,67578.31,68902.27
120515,72642.11,74164.27
120717,86473.875,87525.21
121416,100872.58,102576.08
121618,95665.45,95473.59
121921,99995.35,100765.81
122317,90960.36,89340.72
122620,81217.02,81296.77
122822,85043.55,87227.39
123117,88581.25,88877.28
123420,86307.84,87403.14
123521,96126.2,98080.75
123723,82167.11,82776.55
123824,79474.96,80070.125
123925,76506.19,77880.85
124220,104895.28,105956.875
124422,84598.9,84461.055
124624,90150.78,89291.22
124826,88167.39,89397.53
125222,92725.22,91313.72
125424,88776.805,89076.49
125525,79498.59,80396.59
126325,81132.32,79780.11
126426,70331.47,69009.18
126628,81900.875,83044.38
127226,104340.8,103663.06
127327,106872.305,106857.625
127630,76967.01,77951.09
127731,82535.61,83645.12
127832,82434.21,81874.23
127933,102675.46,103865.516
128026,95338.68,96964.586
128127,85211.88,86585.555
128632,92346.71,91914.09
128935,87583.83,89136.68
129028,95073.805,95532.87
129129,85194.63,85581.82
129331,81096.625,82153.52
129634,84739.56,84091.31
130013,105581.15,106471.16
130114,103680.3,103204.03
130316,88629.016,88077.305
130417,97521.98,97591.33
130518,73303.17,74758.77
130619,88440.836,89641.63
130720,96018.86,96899.89
130821,80337.67,81673.67
130922,87980.2,88160.62
131217,87575.06,89340.28
131419,81294.91,82236.61
131722,84075.28,85228.734
131823,93217.1,94809.17
131924,97698.11,98865.3
132017,88200.3,88148.31
132118,87645.87,88788.31
133019,92360.69,93052.02
133625,96436.6,96835.555
133827,96282.016,97002.53
133928,88500.94,89148.06
134021,72053.266,73372.77
134223,82375.89,82883.72
134324,90987.46,91858.43
134425,82479.95,84848.375
134627,93556.58,95283.95
134728,103442.64,103453.22
134829,91904.12,90596.3
135124,81944.195,82662.664
135225,74572.625,75683.69
135528,74679.7,73590.67
135629,93644.984,95791.086
135730,91376.305,91514.86
135932,91155.5,91480.055
136126,99304.67,100331.766
136227,102346.16,103246.17
136631,97832.25,98842.66
136732,81398.01,80548.19
136833,84557.336,85352.87
137027,91577.39,92249.61
137128,71805.38,70591.22
137229,98816.06,101095.24
137431,87967.375,87493.27
137532,96265.33,96947.55
137633,80149.92,80857.23
137936,85205.43,85329.59
138130,84918.61,85150.91
138231,84435.7,84409.22
138332,80983.7,82394.14
138534,85367.22,86306.87
138837,90060.42,89372.32
139233,80411.38,80842.2
139435,75372.984,75420.734
139637,84993.484,86389.48
139839,100805.43,100827.89
140117,80988.195,81081.43
140319,82791.875,83317.25
140420,83937.375,83275.94
140824,91494.79,92444.08
140925,86658.484,87703.64
141119,94438.12,96081.06
141422,87156.984,87320.72
141826,86179.125,86150.96
142828,103464.94,103179.6
143224,85913.98,85675.47
143325,76030.61,76916.94
143426,85412.5,85673.08
143830,81360.16,81696.42
144125,82892.42,83474.84
144226,76673.0,77392.24
144428,96423.65,98489.65
144731,90470.92,92672.484
144832,86538.484,88320.47
144933,94305.81,95311.09
145127,101043.664,101585.195
145632,83891.375,85704.3
145834,90283.49,90622.836
146129,94138.586,93206.03
146432,100489.9,100991.41
146533,101386.39,101779.91
146735,69103.52,70046.43
146836,95487.836,97398.484
146937,80023.2,81997.555
147030,94067.18,94071.61
147636,79125.8,80151.586
147737,77204.664,77041.125
148032,82144.695,84056.33
148133,84732.57,85947.16
148335,96783.25,95397.55
148436,100949.86,101849.766
148840,89524.69,89787.29
148941,83884.38,85140.836
149236,96176.59,94063.18
149337,91489.12,93903.734
149539,99869.734,99785.49
149741,88008.414,88925.055
149842,83836.72,84855.58
150625,100312.36,101895.53
150726,95661.84,99304.2
150928,92530.42,92249.72
151223,82057.2,81712.47
151324,96118.12,94925.086
151425,91477.234,92971.08
151526,97355.164,97687.58
151627,78683.305,79538.16
151728,106539.77,107369.47
151829,78086.64,78545.62
151930,86519.47,86482.08
152225,106900.99,107717.2
152427,80756.11,80001.21
152831,93931.35,95027.414
153025,87107.38,87758.94
153126,77869.91,78362.766
153227,78470.17,78988.61
153429,102076.36,101083.88
153631,87948.266,88186.695
153732,84432.53,85796.87
153833,86391.555,87148.484
153934,94413.734,95389.5
154229,78741.67,78639.84
154330,103427.055,104994.22
154431,80280.83,80142.66
154532,102711.27,102384.55
154734,94727.76,96403.96
154835,80503.72,81421.7
154936,94987.25,97298.34
155635,92793.86,93139.75
155938,108595.03,109063.74
156031,96330.44,96656.875
156233,87968.13,88833.9
156334,85859.695,86836.02
156435,95877.586,95114.47
156536,99684.766,99614.85
156637,96759.48,97559.47
157336,82298.68,83620.67
157437,79897.33,79423.13
157942,84864.375,85705.41
158035,83277.67,83340.59
158136,82996.34,83977.91
158338,103228.95,104397.51
158540,89187.516,89739.445
158843,85709.93,85872.77
159138,101372.56,102748.56
159239,89663.45,92354.914
159340,94328.11,97641.55
159441,87642.28,88223.26
159744,95438.336,96349.77
159946,105895.875,107275.555
160123,89434.06,90332.76
160729,78616.61,80052.16
160830,88780.72,89565.234
161327,90253.36,89872.43
161630,98325.56,98829.46
161731,79978.62,80203.01
162026,79971.86,80294.914
162228,107432.76,109334.23
162329,76828.93,76561.52
162733,93055.8,93649.68
162935,95783.45,95517.234
163129,84804.25,83937.17
163331,88885.69,88188.37
163432,89360.92,88847.95
163836,80644.84,81118.66
164030,90308.93,91053.09
164131,93769.0,96301.97
164636,93679.98,93828.36
164939,79107.45,79169.64
165032,100397.0,102186.07
165436,95440.92,96719.76
165638,87665.164,87222.33
165840,98171.5,98736.75
165941,80787.79,81540.03
166438,103224.94,102931.875
166640,91657.03,91632.484
167036,81085.83,81708.4
167238,91431.05,92794.67
167440,85605.46,86236.55
167743,91074.96,93158.31
168139,98590.2,99692.836
168341,90044.234,90384.04
168947,79074.1,79392.7
169040,89767.984,92023.12
169343,86827.45,87891.64
169444,82935.84,83330.48
169545,113857.71,114251.15
169747,86106.22,87380.21
169949,92865.89,94402.016
170631,87208.23,87423.36
171330,86520.39,87266.08
171431,84403.59,85069.74
171633,82809.46,83237.26
172029,103955.8,105381.08
172332,71471.83,71765.59
172433,91243.24,92499.92
172534,88966.94,88176.41
172938,78234.1,77861.61
173334,106434.3,107216.055
173435,93773.42,94642.75
173536,81213.68,81379.75
173637,90252.29,91202.266
173738,86015.58,85794.44
173839,77610.36,78211.055
173940,86423.05,87042.914
174437,77626.07,75998.96
174841,90287.73,89898.11
175035,92892.29,92898.74
175136,75611.97,75942.914
175237,80699.59,81658.09
175338,100796.74,101285.875
175439,69233.92,70555.25
175540,96579.94,97407.06
175742,79222.31,79206.8
176037,84889.41,84886.15
176239,89883.78,89734.05
176441,84908.09,84903.44
176542,80979.71,80630.09
176744,101495.5,101125.69
176845,96627.336,98332.39
177140,87895.77,87934.48
177241,95376.695,96590.26
177645,87870.47,87199.33
177746,78478.56,78844.734
178142,90913.484,90529.41
178243,91275.875,91991.984
178647,83309.97,84754.41
178748,95122.46,96439.016
178849,98278.69,99781.92
178950,102370.18,102931.75
179245,74803.94,76439.92
179346,82050.766,81997.28
180129,82829.625,84623.93
180230,95278.65,95656.125
180432,85379.5,85320.805
180533,93520.67,94830.016
180735,83743.88,84339.586
180836,76140.68,76013.43
180937,106274.4,106260.89
181131,79551.586,81136.42
181232,81092.6,82201.484
181636,78405.875,79190.93
182032,78989.53,79328.664
182436,79558.88,80843.2
182739,88405.87,88537.75
182840,96061.17,96249.73
183034,93272.375,93643.81
183337,74377.59,74488.7
185038,87294.96,87712.1
185139,89956.49,88942.68
185341,91613.875,92859.234
185442,105697.05,105620.41
185846,96555.87,97731.73
185947,93402.195,94977.8
186040,97230.305,98535.0
186141,89489.54,90504.97
186444,83031.766,82298.68
186545,92035.04,93904.03
186848,77167.27,77178.19
187143,94225.43,94933.125
187345,88935.86,88780.8
187547,88759.47,89210.88
187850,94933.04,95797.0
188145,92019.92,93130.88
188347,82482.28,83344.43
188448,90091.13,90280.83
188549,101718.516,101223.7
188751,97191.625,97167.25
189349,84318.08,84570.59
189450,97104.33,97602.37
189652,95014.586,96323.31
190031,80019.84,80798.97
191033,84363.33,84543.59
191235,99839.62,100175.54
191336,99852.8,101828.8
191437,82698.2,82439.67
191841,80945.24,82054.78
191942,89060.875,89432.13
192035,74370.04,74521.664
192136,104966.17,105325.13
192237,79655.79,79747.516
192439,84758.55,85239.25
192540,86599.3,88091.01
192641,73666.4,73560.81
192843,96270.72,96486.08
193239,79118.984,80162.625
193845,103333.17,103339.72
194140,73475.805,74007.74
194443,93585.75,94174.08
194645,102644.22,101905.84
194746,86834.32,88320.86
194847,94457.34,95529.27
195041,77117.05,78118.6
195445,89954.3,90421.77
195647,90279.805,89788.695
195849,109454.56,109554.54
195950,84225.45,84536.46
196144,77995.32,78149.15
196346,105446.61,105973.516
196750,87790.12,88917.3
196952,88984.22,89243.9
197550,77628.375,76608.64
198047,90404.17,89698.49
198249,85114.836,84728.4
198350,93004.82,95485.41
198451,104134.09,106042.55
198653,94939.58,94986.07
198855,89864.91,90872.52
199150,94345.85,95069.2
199251,78122.555,79256.664
199352,80100.36,81724.22
199453,82718.43,82713.42
199655,98912.49,99474.86
199958,103034.08,104793.11
200008,81708.09,82004.19
200109,89085.06,89773.5
200311,86858.805,88534.84
200513,108172.19,109395.31
200614,86350.54,87496.305
200917,87723.89,89681.33
201111,89932.664,90502.06
201414,81354.28,83383.54
201515,92977.71,92884.66
201818,77629.375,77320.805
202113,92331.42,93090.96
202719,92110.19,91871.75
202820,71939.195,72589.41
203418,84008.055,84241.79
204016,90900.82,91134.8
204218,90069.32,90628.766
204319,96878.28,97891.336
204420,74248.27,75521.28
204521,76013.21,76462.59
204622,91877.516,91812.25
205119,94645.35,94836.2
205220,80085.41,80746.53
205725,72602.66,71941.56
205826,91186.96,92366.125
206222,94291.92,96176.234
206323,81835.625,82637.336
206525,106705.94,106672.72
206727,94375.74,94963.33
206828,98490.84,99282.38
206929,97262.3,97163.9
207123,103286.89,103938.03
207426,85039.805,84994.92
208024,76088.5,76056.69
208125,89239.02,88890.27
208226,82291.58,83280.81
208327,106571.55,107668.88
208630,92925.61,93278.234
209127,82277.516,82293.53
209228,89232.98,90709.81
209329,77743.27,77902.89
209834,77088.03,77312.516
209935,91890.98,92633.15
210011,92279.25,91862.39
210112,92539.37,92455.5
210415,75871.59,75871.52
210617,91997.58,91742.73
211114,87944.34,88582.55
211215,103879.59,104603.375
211316,74496.15,74578.9
211417,86113.41,85915.44
211619,87731.4,88681.875
211720,100726.05,100309.24
211821,90577.055,90009.59
211922,85223.75,85093.5
212015,94336.69,95953.74
212116,84466.92,85956.53
212217,81395.36,81309.375
212318,79997.83,80546.97
212419,85693.016,84671.04
212823,92105.83,93570.03
213017,88417.22,88713.336
213421,93164.086,93610.46
213522,90613.27,90820.03
214019,79726.92,79686.305
214221,80759.07,80225.62
214423,107062.96,108959.93
214524,92649.03,93007.16
214625,88484.18,88522.12
214726,90298.22,90154.58
217126,85014.125,86598.41
217429,81528.44,81925.97
219231,113491.484,113665.86
220721,92387.24,93595.73
221319,77902.63,79482.4
223929,120455.984,122287.734
224022,74546.414,75215.766
227432,87240.19,86979.24
227533,87244.08,86471.36
228434,78822.69,79321.58
231928,80901.15,81383.69
233326,96077.24,96419.18
236130,87714.07,87742.86
237334,80947.35,81700.62
238033,96651.8,98091.625
239136,95074.34,95578.71
239944,89224.06,87757.0
245333,79116.695,79966.805
246133,80094.76,80238.81
248339,90095.9,90548.23
249947,81681.984,82929.16
250427,80084.45,81846.484
250932,79982.39,80989.43
251833,99787.42,100941.8
255639,76625.86,77203.63
255740,75559.15,76807.484
256540,81928.47,82802.8
257542,88717.95,89933.51
257845,93349.36,93255.28
257946,89247.81,89806.945
263436,90623.664,90370.734
268749,102949.83,104411.62
268850,87014.484,86608.59
270332,110890.875,112353.6
274542,87161.95,87633.54
275645,80574.71,81074.414
280739,79164.1,79210.414
280941,87278.6,86575.69
281135,96375.64,97403.96
283543,92100.02,92989.0
284646,86479.37,88138.266
285345,80949.05,82055.555
285446,93958.125,94931.01
286347,93120.266,93414.95
286650,96184.195,95791.86
287248,91635.37,91558.65
289555,70926.86,71688.84
290136,93065.01,93785.81
293748,72218.34,72251.07
295146,81341.44,82218.48
297655,71152.24,71222.52
298051,96885.15,98768.09
298455,89702.914,91775.49
299154,97327.41,96481.625
299760,92136.625,92304.35
300618,90288.61,89667.445
300719,94934.91,94957.305
303119,89189.484,88868.52
303624,101855.72,102272.375
304020,98623.58,98870.13
304727,88397.305,88181.984
305830,81429.33,82768.945
307127,90868.04,91559.32
308129,100924.125,102730.17
308331,95179.03,96590.34
309636,90308.88,91533.18
310621,95021.38,96199.984
314225,86281.21,86433.664
316633,84104.36,84801.164
316835,76811.75,77480.92
317332,91743.96,92916.73
318637,96799.34,97306.47
320826,88490.55,88911.11
321323,82057.44,82299.766
322224,69822.89,71210.8
325129,102639.31,102650.0
329440,101876.69,104145.15
329844,87220.33,89350.2
330324,90520.305,90243.92
333330,78261.914,79545.53
334635,79893.164,81587.18
336841,93149.53,94196.46
339847,83512.78,82773.92
341834,102778.56,103571.67
342129,95805.195,97958.44
346137,93442.44,92087.836
346945,85893.234,85929.61
348545,80523.9,80282.3
349244,92348.516,92585.84
350330,84949.73,85667.95
352132,97971.57,98789.49
352738,92446.56,92647.69
353740,101852.24,103051.59
356948,91707.6,93644.97
358144,91951.46,93523.34
360030,87058.03,87498.29
361234,79644.33,80269.805
361941,101755.34,101052.484
365343,86551.73,86594.69
366042,85254.63,85077.94
366446,94528.28,95028.67
368551,97544.47,98762.84
368753,78925.125,77797.61
371843,85029.1,83757.65
377451,87216.125,88847.24
378756,89092.21,89900.25
378857,98948.58,99049.914
379657,82656.48,83138.78
380036,98137.445,100278.984
381038,89217.28,92236.33
381543,86418.5,85872.87
382242,89133.96,90925.1
385046,94371.28,93988.89
385450,99458.64,99634.66
387959,101871.03,103247.555
389357,76988.16,77658.055
390645,85935.36,86951.5
391748,81523.36,83481.88
392447,99082.84,101344.875
392750,107828.664,108735.67
393247,83489.734,82920.32
393550,88270.016,89875.15
394956,79189.836,79476.016
395251,82432.57,82736.11
395756,88285.16,89534.27
395958,83263.74,83660.82
397154,83822.67,83533.75
397760,86855.336,87224.31
397861,90447.31,91088.29
401422,80792.06,82087.664
406432,101072.45,102578.69
406836,80517.09,81878.98
412528,80852.71,81470.984
413934,93270.586,94677.41
414229,89836.4,92290.46
415837,93247.06,93323.77
419239,84988.516,85984.74
421226,89662.625,90111.72
422632,84297.484,85149.79
424939,105771.516,106032.88
429040,73847.664,74793.55
432332,80516.84,80949.7
433839,87787.24,88111.14
436239,92673.516,93159.35
436845,83364.98,83248.26
441939,87965.58,87684.81
445543,80882.25,82356.69
448347,94467.5,94932.64
449753,104618.27,105704.625
453441,90660.836,90996.05
453542,73957.7,73768.16
456346,89686.96,90496.836
459453,75755.516,76310.664
461743,89674.24,91199.91
463040,80466.58,81680.164
465852,86102.59,88067.34
467351,86375.31,86592.57
468050,84959.555,86845.33
469961,84622.55,86476.41
475855,91007.97,90781.71
479762,97095.33,98027.19
480141,85707.83,87601.984
481042,80012.52,79492.64
481951,88453.94,88693.04
485757,82696.016,84787.836
486759,98850.266,98723.78
495255,101115.45,101341.8
497865,95937.41,95395.24
499566,85026.36,84640.79
500222,83850.53,83994.44
506234,92770.91,94266.01
510225,106567.06,108088.97
510326,79356.78,80441.84
512835,88527.45,89374.086
513130,78692.49,79471.625
513736,95871.03,97274.09
516742,94496.64,94544.484
517239,93520.82,94021.6
518746,93320.59,95069.11
519647,90633.95,91379.58
519950,93520.484,94560.37
520228,87457.7,87003.9
522434,84955.94,86708.31
523032,91366.28,91590.164
524135,86648.77,87542.85
525541,87800.47,87420.62
529549,83515.8,83742.695
529953,99977.25,103420.86
530635,101788.16,102256.83
531536,103184.32,104424.25
531940,81068.805,80196.08
536647,78928.47,81270.06
540436,89752.43,88428.13
541640,100397.97,101526.375
541943,79180.945,79639.17
545345,95148.55,97028.45
547046,89779.9,89740.78
548250,94931.35,94870.29
552241,91817.125,92757.55
552544,82312.19,84477.81
553344,89950.86,90732.92
555348,73576.58,73109.81
555651,88260.26,89676.164
555954,90111.4,90864.266
557857,92315.23,92897.76
558657,86742.05,85679.836
558960,89335.445,90456.06
559053,82533.08,82293.56
559457,96688.63,97433.37
561242,83281.58,81588.9
561444,102237.7,102363.19
561949,93558.41,93251.375
562446,94940.38,94077.9
566454,82961.78,83506.65
567052,102257.84,102328.28
567759,81985.93,82325.16
567961,75169.18,75907.78
568963,77650.5,78299.586
570243,84952.63,85405.93
571144,86126.84,84687.555
572045,76415.57,76275.68
573249,97268.3,99187.03
573451,95347.06,95725.0
578057,76175.5,75519.57
579665,86265.98,88690.78
579867,82083.92,82558.164
580044,83248.39,84341.59
580347,85380.016,84501.61
580650,89730.61,90462.75
580751,93683.53,93881.92
581349,72888.58,73826.07
581450,92798.195,94247.51
583858,88998.086,89465.695
585256,85977.76,87174.81
585862,86087.97,86572.83
586460,84897.31,84761.47
587664,82631.81,82941.17
588565,95439.26,97043.055
589567,94068.58,94545.07
590047,103703.36,104957.664
592455,84157.33,84908.13
594156,86364.516,88363.68
597869,108468.516,110967.46
598568,95896.94,96743.516
599065,98203.03,98446.82
599469,77825.2,78586.1
599671,86399.305,88160.875
601127,104518.28,105405.68
604537,91362.72,92513.16
609143,83315.3,84495.914
611938,101950.35,102707.984
613538,81473.09,80829.086
614439,77045.3,77813.42
615441,94228.65,93672.79
615744,83432.195,83917.35
616645,98724.26,101958.94
617748,107681.52,108103.64
618952,105457.47,105374.39
620434,88114.27,88882.87
622236,91775.49,92308.39
623844,92031.71,93377.266
626648,88089.12,90348.72
627549,91435.05,91226.66
627852,98881.836,99954.875
628248,99645.34,99397.75
633847,86314.88,86093.63
634748,78009.305,79102.27
635245,95033.21,95908.28
638049,90376.54,90731.51
644246,87088.625,88153.62
645450,83315.53,82932.64
645551,84840.81,85897.54
647858,100730.984,100844.56
654350,96406.26,97935.41
654552,88394.51,89205.54
654754,77184.09,77890.66
656253,105331.41,107052.33
656657,115773.15,116271.72
657659,85861.67,86184.66
660951,90898.96,91474.93
662551,98682.234,100860.46
663755,101726.734,102561.14
664757,93809.42,92841.63
665254,85015.75,86995.91
667056,75593.92,75878.914
668361,82834.74,84291.85
671855,89208.055,91518.2
672756,92374.555,93058.94
673455,85159.99,86515.8
675661,93460.93,95364.47
677766,90908.8,91479.0
677968,85347.58,86429.81
679568,84909.25,86443.34
679770,91767.93,92811.12
680250,77808.836,78403.16
680452,93817.41,94710.99
680957,81678.06,83312.92
683256,89972.9,90235.125
685058,101582.055,100644.14
686969,105804.83,107217.64
687163,93652.336,94409.125
690152,101119.47,102746.93
692964,102914.55,102713.22
693764,102225.91,102442.83
694362,91832.62,91785.05
695768,82654.84,84449.85
698168,94044.84,94064.914
700634,107142.56,105530.305
702133,90085.73,90463.31
704238,91008.4,92638.125
705341,92082.53,93113.92
707749,82823.914,84317.484
709551,89573.086,91409.28
713239,69552.21,69569.86
715041,72706.484,72254.28
715647,92316.86,93283.08
715950,94598.84,95779.05
720337,92945.97,93992.04
723141,92296.09,93116.34
724446,98124.766,98528.26
725751,91748.586,92887.76
727553,94483.98,94512.43
727654,83837.53,84263.11
728454,104755.44,105509.39
729254,81860.56,81933.86
729557,72960.25,75875.47
731140,83692.32,84570.516
732243,83875.78,84336.25
734045,87286.34,87453.086
735148,98441.27,97960.74
737960,87321.06,87089.22
742549,96585.52,95812.14
744553,80690.69,80573.69
748258,81104.984,82123.83
748662,73814.61,75405.16
749058,113844.22,113221.055
749361,90703.76,90804.78
751348,103000.11,102788.1
751550,88556.836,89271.555
753150,100633.734,100080.45
753251,109201.56,109908.58
756055,74188.73,76264.484
757764,72372.63,73221.68
759869,99985.27,100612.95
760551,80530.5,80259.48
761957,81880.85,82179.39
763557,87811.46,88437.55
765864,89022.836,89607.23
767464,79823.82,79493.61
769064,89044.29,90646.984
770352,81234.78,85650.47
771354,88315.41,88184.06
773257,89844.28,91112.164
774663,99265.63,99452.29
779370,98702.375,99275.24
782561,86502.336,86775.65
783462,92293.336,93987.695
784565,94033.34,93378.32
786569,86806.5,87518.516
788674,91438.68,93135.25
788876,74627.1,74605.5
789373,90221.25,91797.836
792564,92373.99,93036.47
792766,96138.25,97180.95
792867,93675.88,95143.945
793465,94269.305,95689.79
800941,94023.67,94749.96
802844,80275.11,82561.83
803240,90035.13,92092.49
804646,93504.516,94191.49
809252,94220.99,94479.56
810843,91661.984,91889.625
814548,79975.2,81465.734
814649,98373.53,96758.53
815247,98702.64,97746.72
816653,97085.3,96458.484
818455,90228.42,90721.53
818859,95604.516,98849.22
820745,87094.92,85625.26
825048,77358.36,79218.36
825553,99412.09,100459.18
825654,78383.59,80730.67
826353,84660.32,85352.41
826454,89674.484,90730.414
827052,83349.8,82884.44
828862,82205.83,81759.96
832651,95739.98,95796.43
833148,93566.08,94435.7
833249,81330.89,81476.914
835657,77274.055,79142.69
837560,86166.45,86319.414
837964,91195.695,91411.21
841349,90703.75,93159.06
843151,103768.414,104572.516
844961,83145.95,83222.78
845458,81792.6,80403.8
849264,75044.07,75660.81
849971,94524.86,94710.45
852455,91896.91,93086.81
856766,81932.195,80682.734
856968,99746.95,98823.414
857263,91411.35,94281.32
859671,72528.51,73829.79
861456,87513.57,87051.17
865363,94324.5,95885.26
867468,86414.28,86470.336
869472,82642.19,82614.234
870861,83433.4,86012.34
871762,88622.18,90522.92
871964,101752.69,101751.43
872158,98052.96,98092.45
872562,97814.234,98900.47
872764,86306.23,87376.16
873968,82120.234,82024.516
877168,79883.78,80371.15
877269,70807.49,70415.5
878776,105414.766,104018.3
878877,91375.42,91366.25
880157,89818.17,89539.99
882161,68800.3,70620.75
884064,87440.305,87256.53
885975,86057.805,87875.75
886674,105443.266,106575.055
887373,87133.17,87187.234
888678,89961.99,89017.11
889579,103427.08,104480.07
891667,85283.875,85736.5
894067,97663.625,100089.5
894673,91044.64,89969.46
894774,95409.56,95403.234
896778,86463.82,86221.266
896879,89658.73,90159.0
898176,92959.33,94572.7
899885,83921.086,84122.62
901038,98485.59,97840.87
901139,91198.766,90747.43
901442,83909.984,84658.25
902242,91736.266,93125.44
904044,76782.766,77067.984
905147,73927.95,74796.21
907656,70849.7,71752.56
908860,103057.375,103712.41
910241,98922.75,100140.16
910443,89009.586,90094.4
911849,86421.98,86563.055
912447,105686.58,106050.484
917255,93162.65,94378.07
917558,81867.89,81937.01
919966,85726.414,86063.56
922854,100828.85,100478.79
923755,99004.4,98320.89
926862,92529.83,92217.65
927359,102109.414,102670.75
930449,80337.14,80755.74
932554,88281.97,89502.43
933253,88181.43,87741.375
937160,92668.12,93281.58
942658,100763.97,101691.125
943862,96472.84,96393.95
951457,79569.32,81077.734
952863,75086.43,76049.195
955465,92965.875,93150.67
957974,91351.8,93088.8
958976,87100.75,88959.68
959574,87908.24,87761.945
962058,94067.76,95093.66
965367,103055.86,102908.125
966975,100372.48,99587.05
969476,96321.02,96789.13
970764,89711.125,89628.4
971160,96258.62,96922.06
978578,85782.07,84541.12
979984,77168.87,77668.03
983773,92183.195,92636.734
984472,84050.4,85761.25
987074,90206.914,90350.5
987983,75644.3,76086.13
989987,90430.98,90296.73
990366,75097.37,73486.62
991267,106757.984,106206.34
992673,84166.97,83237.27
992774,82579.64,82374.46
993675,82466.88,84453.44
994273,88546.125,88911.28
996782,100194.266,101935.76
